PlayerID,Characters,Win or Lose
P22QQVU,"mini_pekka9, goblin_gang12, musketeer9, valkyrie9, ice_wizard2, zap12, mega_minion9, poison6,",1
9YP89C2Y,"fire_fireball9, valkyrie8, angry_barbarian11, wizard9, skeletons10, the_log1, hog_rider9, snow_spirits10,",0
P22QQVU,"mini_pekka9, goblin_gang12, musketeer9, valkyrie9, ice_wizard2, zap12, mega_minion9, poison6,",0
YYV2JC9C,"bats9, ice_golem8, lightning5, hog_rider8, goblins12, zap13, pekka5, electro_wizard2,",1
